KTAS,총내원환자수,혈액검사건수,처방비율(%)
1,90,68.0,75.55555555555556
2,610,483.0,79.18032786885246
3,7819,5384.0,68.85791021869805
4,4125,1028.0,24.921212121212122
5,448,51.0,11.383928571428571
8,576,0.0,0.0
